Title,Price,Bids,Finish Time,Url
Waiting Room Seating,$10.00 ,2 , 12/06 07:23 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492616
Waiting Room Seating,$10.00 ,2 , 12/06 07:22 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492615
Display Case,$15.00 ,3 , 12/06 07:20 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492613
(2) Metal Storage Units,$50.00 ,11 , 12/06 07:20 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492608
TV Wall Mount,$45.00 ,10 , 12/06 07:19 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492612
Storage Cabinet,$25.00 ,3 , 12/06 07:18 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492611
Wood Table,$5.00 ,1 , 12/06 07:17 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492610
Metal Storage Cabinet,$55.00 ,9 , 12/06 07:16 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492609
(2) Metal Storage Units,$30.00 ,7 , 12/06 07:14 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492607
Metal Shelving,$25.00 ,4 , 12/06 07:13 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492606
Work Table,$15.00 ,3 , 12/06 07:12 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492605
(5 Pairs) of Tennis Shoes ,$15.00 ,3 , 12/06 07:11 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492604
"DVD Players, Digital Presenters, Document Camera",$70.00 ,10 , 12/06 07:11 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492589
(8 Pairs) of Tennis Shoes ,$15.00 ,3 , 12/06 07:10 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492603
(4 Pairs) of Tennis Shoes ,$30.00 ,5 , 12/06 07:09 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492602
(4 Pairs) of Tennis Shoes ,$15.00 ,4 , 12/06 07:08 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492601
(10 Pairs) of Tennis Shoes ,$25.00 ,4 , 12/06 07:07 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492600
(7 Pairs) of Tennis Shoes ,$15.00 ,3 , 12/06 07:06 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492599
Canon Vixia Camcorder ,$140.00 ,17 , 12/06 07:06 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492564
(11 Pairs) of Tennis Shoes ,$15.00 ,3 , 12/06 07:05 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492598
Photography Lighting ,$80.00 ,15 , 12/06 07:05 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492583
(6 Pairs) of Tennis Shoes ,$15.00 ,3 , 12/06 07:04 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492597
(9) Electric Typewriters ,$90.00 ,11 , 12/06 07:04 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492587
Panasonic Camcorder,$280.00 ,29 , 12/06 07:04 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492562
(11 Pairs) of Tennis Shoes ,$15.00 ,3 , 12/06 07:03 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492596
